央视频道,#genre#
CCTV-1,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV-1,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv1.php
CCTV-2,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv2.php
CCTV-2,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV-3,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv3.php
CCTV-3,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV-4,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv4.php
CCTV-4,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV-5,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv5.php
CCTV-5,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV-5+,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv5p.php?id=301
CCTV-5+,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV-6,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv6.php
CCTV-6,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV-7,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv7.php
CCTV-7,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV-8,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv8.php
CCTV-8,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV-9,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv9.php
CCTV-9,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV-10,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv10.php
CCTV-10,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV-11,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv11.php
CCTV-11,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV-12,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv12.php
CCTV-12,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV-13,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv13.php
CCTV-13,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV-14,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv14.php
CCTV-14,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV-15,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv15.php
CCTV-15,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV-16,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv16.php
CCTV-17,http://mg.hmysapp.cn:177/咪咕央视/咪咕直连/cctv17.php
CCTV-17,https://live.chinacert.cftest5.cn/cnmg/live/673168256

山东,#genre#

🕘️更新时间,#genre#
2026-06-18 22:44:14,https://live.chinacert.cftest5.cn/cnmg/live/608807420
